x,y,r,g,b
0,0,-6.86721, 5.04105, 1.53856
0,1,-7.28374, 4.76263, 1.51519
0,2,-7.46154, 4.54225, 1.50949
0,3,-7.40883, 4.40535, 1.51236
0,4,-3.65235, 6.6081, 1.53725
0,5,-2.61493, 7.40431, 1.59026
0,6,-2.22, 7.65598, 1.56529
0,7,-1.54419, 7.76689, 1.52456
0,8,-1.03232, 7.55898, 1.40791
0,9,-0.584766, 6.89027, 1.2623
1,0,-7.28452, 4.76152, 1.51515
1,1,-7.38625, 4.66549, 1.5113
1,2,-7.4936, 4.49602, 1.51062
1,3,-7.45978, 4.39039, 1.51681
1,4,-4.59916, 6.63649, 1.59716
1,5,-3.46545, 7.52185, 1.68168
1,6,-2.84569, 7.91283, 1.68674
1,7,-2.08405, 8.14097, 1.66721
1,8,-1.42429, 8.10564, 1.57223
1,9,-0.878957, 7.60037, 1.44982
2,0,-7.49017, 4.5121, 1.50761
2,1,-7.52054, 4.46625, 1.50924
2,2,-7.55405, 4.36758, 1.51273
2,3,-7.50904, 4.32528, 1.52051
2,4,-5.45515, 6.31255, 1.61075
2,5,-4.21783, 7.31826, 1.69954
2,6,-3.547, 7.7967, 1.73338
2,7,-2.73187, 8.09398, 1.74147
2,8,-1.93233, 8.2155, 1.67804
2,9,-1.22031, 7.88142, 1.56274
3,0,-7.61545, 4.19571, 1.4982
3,1,-7.63563, 4.2017, 1.50541
3,2,-7.63616, 4.17584, 1.51206
3,3,-7.57022, 4.21208, 1.5204
3,4,-6.16022, 5.84349, 1.60887
3,5,-5.03446, 6.87655, 1.70123
3,6,-4.30845, 7.43408, 1.72143
3,7,-3.44552, 7.833, 1.74001
3,8,-2.48483, 8.1136, 1.69561
3,9,-1.6683, 7.92188, 1.60181
4,0,-8.37835, 1.74867, 1.23565
4,1,-8.63783, 2.42481, 1.31464
4,2,-8.52566, 3.01371, 1.40254
4,3,-8.24408, 3.6652, 1.47197
4,4,-7.56019, 4.70049, 1.54171
4,5,-6.7092, 5.71101, 1.63133
4,6,-5.91919, 6.39469, 1.64552
4,7,-4.83861, 7.00098, 1.7031
4,8,-3.55693, 7.52245, 1.69397
4,9,-2.4578, 7.50497, 1.60281
5,0,-8.8536, 0.808498, 1.25582
5,1,-9.29275, 1.23913, 1.32746
5,2,-9.29912, 1.76675, 1.37718
5,3,-9.12739, 2.36999, 1.42582
5,4,-8.65227, 3.35941, 1.45554
5,5,-8.02822, 4.33479, 1.49957
5,6,-7.20546, 5.19603, 1.51437
5,7,-6.07677, 5.98568, 1.58463
5,8,-4.70856, 6.70219, 1.59743
5,9,-3.56368, 6.81111, 1.54949
6,0,-9.00351, 0.27498, 1.28438
6,1,-9.50924, 0.472464, 1.35439
6,2,-9.65522, 0.818637, 1.37285
6,3,-9.66158, 1.19899, 1.39254
6,4,-9.40298, 1.98923, 1.38126
6,5,-8.9699, 2.81262, 1.39417
6,6,-8.28795, 3.73525, 1.39372
6,7,-7.26756, 4.61226, 1.44994
6,8,-6.02797, 5.45924, 1.4749
6,9,-4.98919, 5.62936, 1.46696
7,0,-8.80671, -0.146411, 1.29395
7,1,-9.42394, -0.0864391, 1.3782
7,2,-9.65631, 0.11468, 1.40329
7,3,-9.73179, 0.391879, 1.38659
7,4,-9.58207, 0.923607, 1.3438
7,5,-9.3155, 1.58662, 1.33122
7,6,-8.8266, 2.37961, 1.34792
7,7,-8.08121, 3.17133, 1.36664
7,8,-7.13165, 3.96936, 1.39777
7,9,-6.16919, 4.1057, 1.35827
8,0,-8.40526, -0.356019, 1.24467
8,1,-9.15515, -0.385935, 1.38395
8,2,-9.49303, -0.31209, 1.4144
8,3,-9.63076, -0.172464, 1.42035
8,4,-9.55173, 0.118086, 1.39428
8,5,-9.40378, 0.597731, 1.34724
8,6,-9.1508, 1.14176, 1.38072
8,7,-8.62897, 1.79928, 1.39264
8,8,-7.9631, 2.37025, 1.36746
8,9,-7.00147, 2.52156, 1.27232
9,0,-7.55135, -0.329541, 1.12946
9,1,-8.4242, -0.403716, 1.28516
9,2,-8.86595, -0.406378, 1.37242
9,3,-9.08768, -0.352399, 1.43103
9,4,-9.00392, -0.201239, 1.46506
9,5,-8.91639, 0.0756053, 1.40598
9,6,-8.82827, 0.376277, 1.39185
9,7,-8.44981, 0.721059, 1.35844
9,8,-7.93309, 1.09353, 1.24328
9,9,-6.97631, 1.19825, 1.0725
